warning: no usable GPU found, --gpu-layers option will be ignored
warning: one possible reason is that llama.cpp was compiled without GPU support
warning: consult docs/build.md for compilation instructions
0.00.003.633 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.004.135 W srv  llama_server: -----------------
0.00.004.137 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.004.137 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.004.137 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.004.137 W srv  llama_server: -----------------
0.00.005.344 I srv    load_model: loading model '/home/qwe/workspace/llama.cpp/qwen3-1.7b/qwen3-1.7B-BF16.gguf'
0.00.280.948 W load: control-looking token: 128247 '</s>' was not control-type; this is probably a bug in the model. its type will be overridden
0.00.911.526 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 8192, kv_unified = 'true'
0.00.916.894 I srv  llama_server: model loaded
0.00.916.897 I srv  llama_server: listening on http://127.0.0.1:38899
0.01.020.143 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.33.495.047 I slot launch_slot_: id  1 | task 14 | processing task, is_child = 0
0.44.358.162 I slot print_timing: id  2 | task 9 | prompt eval time =    7029.97 ms /   232 tokens (   30.30 ms per token,    33.00 tokens per second)
0.44.358.165 I slot print_timing: id  2 | task 9 |        eval time =   16924.14 ms /     4 tokens ( 4231.04 ms per token,     0.24 tokens per second)
0.44.358.165 I slot print_timing: id  2 | task 9 |       total time =   23954.11 ms /   236 tokens
0.44.358.166 I slot print_timing: id  2 | task 9 |    graphs reused =          1
0.44.358.190 I slot      release: id  2 | task 9 | stop processing: n_tokens = 235, truncated = 0
0.44.358.380 I slot print_timing: id  3 | task 10 | prompt eval time =    7030.20 ms /   526 tokens (   13.37 ms per token,    74.82 tokens per second)
0.44.358.381 I slot print_timing: id  3 | task 10 |        eval time =   16924.10 ms /     4 tokens ( 4231.02 ms per token,     0.24 tokens per second)
0.44.358.382 I slot print_timing: id  3 | task 10 |       total time =   23954.30 ms /   530 tokens
0.44.358.382 I slot print_timing: id  3 | task 10 |    graphs reused =          1
0.44.358.406 I slot      release: id  3 | task 10 | stop processing: n_tokens = 529, truncated = 0
0.44.450.491 I slot print_timing: id  0 | task 12 | prompt eval time =    6060.19 ms /   641 tokens (    9.45 ms per token,   105.77 tokens per second)
0.44.450.496 I slot print_timing: id  0 | task 12 |        eval time =   10955.96 ms /     4 tokens ( 2738.99 ms per token,     0.37 tokens per second)
0.44.450.496 I slot print_timing: id  0 | task 12 |       total time =   17016.16 ms /   645 tokens
0.44.450.497 I slot print_timing: id  0 | task 12 |    graphs reused =          1
0.44.450.556 I slot      release: id  0 | task 12 | stop processing: n_tokens = 644, truncated = 0
0.44.523.348 I slot print_timing: id  1 | task 14 | prompt eval time =   10741.18 ms /  1123 tokens (    9.56 ms per token,   104.55 tokens per second)
0.44.523.351 I slot print_timing: id  1 | task 14 |        eval time =     287.10 ms /     4 tokens (   71.78 ms per token,    13.93 tokens per second)
0.44.523.352 I slot print_timing: id  1 | task 14 |       total time =   11028.28 ms /  1127 tokens
0.44.523.353 I slot print_timing: id  1 | task 14 |    graphs reused =          1
0.44.523.407 I slot      release: id  1 | task 14 | stop processing: n_tokens = 1126, truncated = 0
0.44.524.255 I srv    operator(): operator(): cleaning up before exit...
