workload,mode,iteration,context_tokens,input_tokens,component,layer,time_us
prefill,instrumented,2,0,32,decoder_layer,26,10050.290
prefill,instrumented,2,0,32,decoder_layer,27,5110.191
prefill,instrumented,2,0,32,decoder_layers_total,-1,286578.650
prefill,instrumented,2,0,32,decoder_shard_total,-1,286598.077
prefill,instrumented,2,0,32,final_norm,-1,42.852
prefill,instrumented,2,0,32,lm_head,-1,10582.651
prefill,instrumented,2,0,32,head_shard_total,-1,10625.503
prefill,instrumented,2,0,32,graph_sum,-1,297223.580
prefill,instrumented,2,0,32,llama_decode_wall,-1,297443.523
prefill,instrumented,2,0,32,outside_timed_stages,-1,219.943
prefill,instrumented,3,0,32,embedding,-1,13.904
prefill,instrumented,3,0,32,decoder_layer,0,9620.355
prefill,instrumented,3,0,32,decoder_layer,1,9601.910
prefill,instrumented,3,0,32,decoder_layer,2,10854.522
prefill,instrumented,3,0,32,decoder_layer,3,11871.025
prefill,instrumented,3,0,32,decoder_layer,4,9899.118
prefill,instrumented,3,0,32,decoder_layer,5,12030.134
prefill,instrumented,3,0,32,decoder_layer,6,11119.662
prefill,instrumented,3,0,32,decoder_layer,7,10086.922
prefill,instrumented,3,0,32,decoder_layer,8,11142.049
prefill,instrumented,3,0,32,decoder_layer,9,11272.016
prefill,instrumented,3,0,32,decoder_layer,10,10380.164
prefill,instrumented,3,0,32,decoder_layer,11,10516.374
prefill,instrumented,3,0,32,decoder_layer,12,9694.617
prefill,instrumented,3,0,32,decoder_layer,13,12862.078
prefill,instrumented,3,0,32,decoder_layer,14,10931.944
prefill,instrumented,3,0,32,decoder_layer,15,11203.997
prefill,instrumented,3,0,32,decoder_layer,16,9454.562
prefill,instrumented,3,0,32,decoder_layer,17,9322.547
prefill,instrumented,3,0,32,decoder_layer,18,10240.003
prefill,instrumented,3,0,32,decoder_layer,19,10382.548
prefill,instrumented,3,0,32,decoder_layer,20,10215.329
prefill,instrumented,3,0,32,decoder_layer,21,10424.033
prefill,instrumented,3,0,32,decoder_layer,22,9843.829
prefill,instrumented,3,0,32,decoder_layer,23,9918.520
prefill,instrumented,3,0,32,decoder_layer,24,11148.051
prefill,instrumented,3,0,32,decoder_layer,25,10560.711
prefill,instrumented,3,0,32,decoder_layer,26,10424.391
prefill,instrumented,3,0,32,decoder_layer,27,5237.399
prefill,instrumented,3,0,32,decoder_layers_total,-1,290258.810
prefill,instrumented,3,0,32,decoder_shard_total,-1,290272.714
prefill,instrumented,3,0,32,final_norm,-1,36.402
prefill,instrumented,3,0,32,lm_head,-1,10536.973
prefill,instrumented,3,0,32,head_shard_total,-1,10573.375
prefill,instrumented,3,0,32,graph_sum,-1,300846.089
prefill,instrumented,3,0,32,llama_decode_wall,-1,301070.726
prefill,instrumented,3,0,32,outside_timed_stages,-1,224.637
prefill,instrumented,4,0,32,embedding,-1,13.279
prefill,instrumented,4,0,32,decoder_layer,0,11074.472
prefill,instrumented,4,0,32,decoder_layer,1,10855.753
prefill,instrumented,4,0,32,decoder_layer,2,8859.132
prefill,instrumented,4,0,32,decoder_layer,3,11021.164
prefill,instrumented,4,0,32,decoder_layer,4,10916.916
prefill,instrumented,4,0,32,decoder_layer,5,9763.758
prefill,instrumented,4,0,32,decoder_layer,6,9970.743
prefill,instrumented,4,0,32,decoder_layer,7,10366.509
prefill,instrumented,4,0,32,decoder_layer,8,10358.743
prefill,instrumented,4,0,32,decoder_layer,9,10540.752
prefill,instrumented,4,0,32,decoder_layer,10,11362.047
prefill,instrumented,4,0,32,decoder_layer,11,9302.238
prefill,instrumented,4,0,32,decoder_layer,12,11528.101
prefill,instrumented,4,0,32,decoder_layer,13,10487.951
prefill,instrumented,4,0,32,decoder_layer,14,10001.722
prefill,instrumented,4,0,32,decoder_layer,15,9796.324
prefill,instrumented,4,0,32,decoder_layer,16,10865.795
prefill,instrumented,4,0,32,decoder_layer,17,10869.646
prefill,instrumented,4,0,32,decoder_layer,18,10058.432
prefill,instrumented,4,0,32,decoder_layer,19,11019.144
prefill,instrumented,4,0,32,decoder_layer,20,9616.898
prefill,instrumented,4,0,32,decoder_layer,21,10661.205
prefill,instrumented,4,0,32,decoder_layer,22,10343.488
prefill,instrumented,4,0,32,decoder_layer,23,9624.235
prefill,instrumented,4,0,32,decoder_layer,24,11473.939
prefill,instrumented,4,0,32,decoder_layer,25,11252.441
prefill,instrumented,4,0,32,decoder_layer,26,10034.563
prefill,instrumented,4,0,32,decoder_layer,27,5401.088
prefill,instrumented,4,0,32,decoder_layers_total,-1,287427.199
prefill,instrumented,4,0,32,decoder_shard_total,-1,287440.478
prefill,instrumented,4,0,32,final_norm,-1,22.388
prefill,instrumented,4,0,32,lm_head,-1,10530.687
prefill,instrumented,4,0,32,head_shard_total,-1,10553.075
prefill,instrumented,4,0,32,graph_sum,-1,297993.553
prefill,instrumented,4,0,32,llama_decode_wall,-1,298173.232
prefill,instrumented,4,0,32,outside_timed_stages,-1,179.679
prefill,instrumented,5,0,32,embedding,-1,10.864
prefill,instrumented,5,0,32,decoder_layer,0,11014.209
prefill,instrumented,5,0,32,decoder_layer,1,10706.956
prefill,instrumented,5,0,32,decoder_layer,2,8922.494
prefill,instrumented,5,0,32,decoder_layer,3,8543.647
prefill,instrumented,5,0,32,decoder_layer,4,8547.192
prefill,instrumented,5,0,32,decoder_layer,5,9527.899
prefill,instrumented,5,0,32,decoder_layer,6,9399.881
prefill,instrumented,5,0,32,decoder_layer,7,9009.749
prefill,instrumented,5,0,32,decoder_layer,8,9622.568
prefill,instrumented,5,0,32,decoder_layer,9,9449.082
prefill,instrumented,5,0,32,decoder_layer,10,9477.469
prefill,instrumented,5,0,32,decoder_layer,11,9840.930
prefill,instrumented,5,0,32,decoder_layer,12,8576.926
prefill,instrumented,5,0,32,decoder_layer,13,9311.140
prefill,instrumented,5,0,32,decoder_layer,14,10341.663
prefill,instrumented,5,0,32,decoder_layer,15,9692.239
prefill,instrumented,5,0,32,decoder_layer,16,8905.467
prefill,instrumented,5,0,32,decoder_layer,17,9502.851
prefill,instrumented,5,0,32,decoder_layer,18,10387.061
prefill,instrumented,5,0,32,decoder_layer,19,10536.424
prefill,instrumented,5,0,32,decoder_layer,20,9815.304
prefill,instrumented,5,0,32,decoder_layer,21,9773.663
prefill,instrumented,5,0,32,decoder_layer,22,10857.714
prefill,instrumented,5,0,32,decoder_layer,23,10515.911
prefill,instrumented,5,0,32,decoder_layer,24,10589.480
prefill,instrumented,5,0,32,decoder_layer,25,10353.131
prefill,instrumented,5,0,32,decoder_layer,26,11814.640
prefill,instrumented,5,0,32,decoder_layer,27,5094.582
prefill,instrumented,5,0,32,decoder_layers_total,-1,270130.272
prefill,instrumented,5,0,32,decoder_shard_total,-1,270141.136
prefill,instrumented,5,0,32,final_norm,-1,24.583
prefill,instrumented,5,0,32,lm_head,-1,10403.530
prefill,instrumented,5,0,32,head_shard_total,-1,10428.113
prefill,instrumented,5,0,32,graph_sum,-1,280569.249
prefill,instrumented,5,0,32,llama_decode_wall,-1,280744.338
prefill,instrumented,5,0,32,outside_timed_stages,-1,175.089
prefill,instrumented,6,0,32,embedding,-1,14.796
prefill,instrumented,6,0,32,decoder_layer,0,10649.020
prefill,instrumented,6,0,32,decoder_layer,1,9716.344
prefill,instrumented,6,0,32,decoder_layer,2,10546.978
prefill,instrumented,6,0,32,decoder_layer,3,9837.175
prefill,instrumented,6,0,32,decoder_layer,4,9984.062
prefill,instrumented,6,0,32,decoder_layer,5,9714.285
prefill,instrumented,6,0,32,decoder_layer,6,10090.702
prefill,instrumented,6,0,32,decoder_layer,7,10276.607
prefill,instrumented,6,0,32,decoder_layer,8,9481.588
prefill,instrumented,6,0,32,decoder_layer,9,9927.261
prefill,instrumented,6,0,32,decoder_layer,10,9914.776
prefill,instrumented,6,0,32,decoder_layer,11,8076.058
prefill,instrumented,6,0,32,decoder_layer,12,8710.309
prefill,instrumented,6,0,32,decoder_layer,13,10034.865
prefill,instrumented,6,0,32,decoder_layer,14,10575.099
prefill,instrumented,6,0,32,decoder_layer,15,10233.599
prefill,instrumented,6,0,32,decoder_layer,16,10820.490
prefill,instrumented,6,0,32,decoder_layer,17,8952.489
prefill,instrumented,6,0,32,decoder_layer,18,9676.991
prefill,instrumented,6,0,32,decoder_layer,19,10274.379
prefill,instrumented,6,0,32,decoder_layer,20,9660.034
prefill,instrumented,6,0,32,decoder_layer,21,9605.350
prefill,instrumented,6,0,32,decoder_layer,22,9521.901
prefill,instrumented,6,0,32,decoder_layer,23,9726.893
prefill,instrumented,6,0,32,decoder_layer,24,9806.180
prefill,instrumented,6,0,32,decoder_layer,25,10730.765
prefill,instrumented,6,0,32,decoder_layer,26,12156.670
prefill,instrumented,6,0,32,decoder_layer,27,5193.301
prefill,instrumented,6,0,32,decoder_layers_total,-1,273894.171
prefill,instrumented,6,0,32,decoder_shard_total,-1,273908.967
prefill,instrumented,6,0,32,final_norm,-1,28.719
prefill,instrumented,6,0,32,lm_head,-1,10410.728
prefill,instrumented,6,0,32,head_shard_total,-1,10439.447
prefill,instrumented,6,0,32,graph_sum,-1,284348.414
prefill,instrumented,6,0,32,llama_decode_wall,-1,284549.202
prefill,instrumented,6,0,32,outside_timed_stages,-1,200.788
prefill,instrumented,7,0,32,embedding,-1,14.077
prefill,instrumented,7,0,32,decoder_layer,0,10559.544
prefill,instrumented,7,0,32,decoder_layer,1,10851.597
prefill,instrumented,7,0,32,decoder_layer,2,10340.710
prefill,instrumented,7,0,32,decoder_layer,3,9603.775
prefill,instrumented,7,0,32,decoder_layer,4,9968.004
prefill,instrumented,7,0,32,decoder_layer,5,9357.097
prefill,instrumented,7,0,32,decoder_layer,6,9890.420
prefill,instrumented,7,0,32,decoder_layer,7,9742.545
prefill,instrumented,7,0,32,decoder_layer,8,9923.348
prefill,instrumented,7,0,32,decoder_layer,9,13791.901
prefill,instrumented,7,0,32,decoder_layer,10,8724.341
prefill,instrumented,7,0,32,decoder_layer,11,11357.385
prefill,instrumented,7,0,32,decoder_layer,12,10099.884
prefill,instrumented,7,0,32,decoder_layer,13,10250.604
prefill,instrumented,7,0,32,decoder_layer,14,11297.428
prefill,instrumented,7,0,32,decoder_layer,15,10348.040
prefill,instrumented,7,0,32,decoder_layer,16,10218.390
prefill,instrumented,7,0,32,decoder_layer,17,10445.777
prefill,instrumented,7,0,32,decoder_layer,18,10333.550
prefill,instrumented,7,0,32,decoder_layer,19,9879.568
prefill,instrumented,7,0,32,decoder_layer,20,9843.354
prefill,instrumented,7,0,32,decoder_layer,21,8631.146
prefill,instrumented,7,0,32,decoder_layer,22,9431.263
prefill,instrumented,7,0,32,decoder_layer,23,10224.396
prefill,instrumented,7,0,32,decoder_layer,24,9624.379
prefill,instrumented,7,0,32,decoder_layer,25,10648.076
prefill,instrumented,7,0,32,decoder_layer,26,10257.651
prefill,instrumented,7,0,32,decoder_layer,27,5024.592
prefill,instrumented,7,0,32,decoder_layers_total,-1,280668.765
prefill,instrumented,7,0,32,decoder_shard_total,-1,280682.842
prefill,instrumented,7,0,32,final_norm,-1,27.541
prefill,instrumented,7,0,32,lm_head,-1,10067.151
prefill,instrumented,7,0,32,head_shard_total,-1,10094.692
prefill,instrumented,7,0,32,graph_sum,-1,290777.534
prefill,instrumented,7,0,32,llama_decode_wall,-1,290946.400
prefill,instrumented,7,0,32,outside_timed_stages,-1,168.866
prefill,instrumented,8,0,32,embedding,-1,20.313
prefill,instrumented,8,0,32,decoder_layer,0,10320.075
prefill,instrumented,8,0,32,decoder_layer,1,10541.939
prefill,instrumented,8,0,32,decoder_layer,2,12484.024
prefill,instrumented,8,0,32,decoder_layer,3,10253.511
prefill,instrumented,8,0,32,decoder_layer,4,9299.614
prefill,instrumented,8,0,32,decoder_layer,5,11051.529
prefill,instrumented,8,0,32,decoder_layer,6,9854.548
prefill,instrumented,8,0,32,decoder_layer,7,10270.765
prefill,instrumented,8,0,32,decoder_layer,8,11768.227
prefill,instrumented,8,0,32,decoder_layer,9,10321.000
prefill,instrumented,8,0,32,decoder_layer,10,11306.192
prefill,instrumented,8,0,32,decoder_layer,11,10190.981
prefill,instrumented,8,0,32,decoder_layer,12,9715.239
prefill,instrumented,8,0,32,decoder_layer,13,11262.932
prefill,instrumented,8,0,32,decoder_layer,14,9809.646
prefill,instrumented,8,0,32,decoder_layer,15,11743.364
prefill,instrumented,8,0,32,decoder_layer,16,9344.311
prefill,instrumented,8,0,32,decoder_layer,17,9977.888
prefill,instrumented,8,0,32,decoder_layer,18,11499.206
prefill,instrumented,8,0,32,decoder_layer,19,9831.021
prefill,instrumented,8,0,32,decoder_layer,20,12047.447
prefill,instrumented,8,0,32,decoder_layer,21,10063.377
prefill,instrumented,8,0,32,decoder_layer,22,10034.514
prefill,instrumented,8,0,32,decoder_layer,23,9847.045
prefill,instrumented,8,0,32,decoder_layer,24,10290.203
prefill,instrumented,8,0,32,decoder_layer,25,10973.481
prefill,instrumented,8,0,32,decoder_layer,26,11821.394
prefill,instrumented,8,0,32,decoder_layer,27,6137.287
prefill,instrumented,8,0,32,decoder_layers_total,-1,292060.760
prefill,instrumented,8,0,32,decoder_shard_total,-1,292081.073
prefill,instrumented,8,0,32,final_norm,-1,25.463
prefill,instrumented,8,0,32,lm_head,-1,10106.742
prefill,instrumented,8,0,32,head_shard_total,-1,10132.205
prefill,instrumented,8,0,32,graph_sum,-1,302213.278
prefill,instrumented,8,0,32,llama_decode_wall,-1,302423.126
prefill,instrumented,8,0,32,outside_timed_stages,-1,209.848
prefill,instrumented,9,0,32,embedding,-1,19.315
prefill,instrumented,9,0,32,decoder_layer,0,9670.077
prefill,instrumented,9,0,32,decoder_layer,1,10147.018
prefill,instrumented,9,0,32,decoder_layer,2,10307.920
prefill,instrumented,9,0,32,decoder_layer,3,9803.984
prefill,instrumented,9,0,32,decoder_layer,4,9690.714
prefill,instrumented,9,0,32,decoder_layer,5,10206.486
prefill,instrumented,9,0,32,decoder_layer,6,10920.392
prefill,instrumented,9,0,32,decoder_layer,7,11377.863
prefill,instrumented,9,0,32,decoder_layer,8,9238.584
prefill,instrumented,9,0,32,decoder_layer,9,10995.123
prefill,instrumented,9,0,32,decoder_layer,10,9724.313
prefill,instrumented,9,0,32,decoder_layer,11,9783.652
prefill,instrumented,9,0,32,decoder_layer,12,10063.533
prefill,instrumented,9,0,32,decoder_layer,13,10235.299
prefill,instrumented,9,0,32,decoder_layer,14,9493.247
prefill,instrumented,9,0,32,decoder_layer,15,10984.390
prefill,instrumented,9,0,32,decoder_layer,16,10601.063
prefill,instrumented,9,0,32,decoder_layer,17,10108.168
prefill,instrumented,9,0,32,decoder_layer,18,11883.674
prefill,instrumented,9,0,32,decoder_layer,19,10890.733
prefill,instrumented,9,0,32,decoder_layer,20,10879.079
prefill,instrumented,9,0,32,decoder_layer,21,10608.218
prefill,instrumented,9,0,32,decoder_layer,22,11522.292
prefill,instrumented,9,0,32,decoder_layer,23,11058.899
prefill,instrumented,9,0,32,decoder_layer,24,9604.142
prefill,instrumented,9,0,32,decoder_layer,25,10433.611
prefill,instrumented,9,0,32,decoder_layer,26,12859.852
prefill,instrumented,9,0,32,decoder_layer,27,4689.673
prefill,instrumented,9,0,32,decoder_layers_total,-1,287781.999
prefill,instrumented,9,0,32,decoder_shard_total,-1,287801.314
prefill,instrumented,9,0,32,final_norm,-1,27.826
prefill,instrumented,9,0,32,lm_head,-1,10054.913
prefill,instrumented,9,0,32,head_shard_total,-1,10082.739
prefill,instrumented,9,0,32,graph_sum,-1,297884.053
prefill,instrumented,9,0,32,llama_decode_wall,-1,298098.393
prefill,instrumented,9,0,32,outside_timed_stages,-1,214.340
decode,baseline,0,32,1,llama_decode_wall,-1,64638.084
decode,baseline,1,32,1,llama_decode_wall,-1,68614.521
decode,baseline,2,32,1,llama_decode_wall,-1,63586.426
decode,baseline,3,32,1,llama_decode_wall,-1,65337.928
decode,baseline,4,32,1,llama_decode_wall,-1,66758.871
decode,baseline,5,32,1,llama_decode_wall,-1,72651.408
decode,baseline,6,32,1,llama_decode_wall,-1,66571.661
decode,baseline,7,32,1,llama_decode_wall,-1,71274.805
decode,baseline,8,32,1,llama_decode_wall,-1,65721.598
decode,baseline,9,32,1,llama_decode_wall,-1,63862.780
decode,baseline,10,32,1,llama_decode_wall,-1,68329.459
decode,baseline,11,32,1,llama_decode_wall,-1,64553.784
decode,baseline,12,32,1,llama_decode_wall,-1,64016.084
decode,baseline,13,32,1,llama_decode_wall,-1,64512.408
decode,baseline,14,32,1,llama_decode_wall,-1,65875.208
decode,baseline,15,32,1,llama_decode_wall,-1,66486.595
decode,baseline,16,32,1,llama_decode_wall,-1,69197.731
decode,baseline,17,32,1,llama_decode_wall,-1,67657.116
decode,baseline,18,32,1,llama_decode_wall,-1,65688.474
decode,baseline,19,32,1,llama_decode_wall,-1,70688.383
decode,baseline,20,32,1,llama_decode_wall,-1,63933.983
decode,baseline,21,32,1,llama_decode_wall,-1,69246.213
decode,baseline,22,32,1,llama_decode_wall,-1,67555.583
decode,baseline,23,32,1,llama_decode_wall,-1,65247.792
decode,baseline,24,32,1,llama_decode_wall,-1,63834.217
decode,baseline,25,32,1,llama_decode_wall,-1,63068.724
decode,baseline,26,32,1,llama_decode_wall,-1,63486.628
decode,baseline,27,32,1,llama_decode_wall,-1,68714.556
decode,baseline,28,32,1,llama_decode_wall,-1,62423.505
decode,baseline,29,32,1,llama_decode_wall,-1,63708.592
decode,instrumented,0,32,1,embedding,-1,5.178
decode,instrumented,0,32,1,decoder_layer,0,1943.998
decode,instrumented,0,32,1,decoder_layer,1,1840.143
decode,instrumented,0,32,1,decoder_layer,2,1840.386
decode,instrumented,0,32,1,decoder_layer,3,1865.446
decode,instrumented,0,32,1,decoder_layer,4,1837.176
decode,instrumented,0,32,1,decoder_layer,5,1865.577
decode,instrumented,0,32,1,decoder_layer,6,1826.425
decode,instrumented,0,32,1,decoder_layer,7,1950.142
decode,instrumented,0,32,1,decoder_layer,8,1991.852
decode,instrumented,0,32,1,decoder_layer,9,1874.104
decode,instrumented,0,32,1,decoder_layer,10,1917.958
decode,instrumented,0,32,1,decoder_layer,11,1948.559
decode,instrumented,0,32,1,decoder_layer,12,1959.021
decode,instrumented,0,32,1,decoder_layer,13,1973.022
decode,instrumented,0,32,1,decoder_layer,14,1861.411
decode,instrumented,0,32,1,decoder_layer,15,1896.329
decode,instrumented,0,32,1,decoder_layer,16,2088.895
decode,instrumented,0,32,1,decoder_layer,17,1967.081
decode,instrumented,0,32,1,decoder_layer,18,1917.628
decode,instrumented,0,32,1,decoder_layer,19,1839.563
decode,instrumented,0,32,1,decoder_layer,20,1942.613
decode,instrumented,0,32,1,decoder_layer,21,1925.894
decode,instrumented,0,32,1,decoder_layer,22,1967.539
decode,instrumented,0,32,1,decoder_layer,23,1974.206
decode,instrumented,0,32,1,decoder_layer,24,1993.254
decode,instrumented,0,32,1,decoder_layer,25,2095.040
decode,instrumented,0,32,1,decoder_layer,26,2019.408
decode,instrumented,0,32,1,decoder_layer,27,1930.955
decode,instrumented,0,32,1,decoder_layers_total,-1,54053.625
decode,instrumented,0,32,1,decoder_shard_total,-1,54058.803
decode,instrumented,0,32,1,final_norm,-1,23.964
decode,instrumented,0,32,1,lm_head,-1,9787.563
decode,instrumented,0,32,1,head_shard_total,-1,9811.527
decode,instrumented,0,32,1,graph_sum,-1,63870.330
decode,instrumented,0,32,1,llama_decode_wall,-1,64041.721
decode,instrumented,0,32,1,outside_timed_stages,-1,171.391
decode,instrumented,1,32,1,embedding,-1,5.582
decode,instrumented,1,32,1,decoder_layer,0,2320.853
decode,instrumented,1,32,1,decoder_layer,1,1838.424
decode,instrumented,1,32,1,decoder_layer,2,1824.306
decode,instrumented,1,32,1,decoder_layer,3,1912.501
decode,instrumented,1,32,1,decoder_layer,4,1896.168
decode,instrumented,1,32,1,decoder_layer,5,1843.912
decode,instrumented,1,32,1,decoder_layer,6,1823.847
decode,instrumented,1,32,1,decoder_layer,7,1877.254
decode,instrumented,1,32,1,decoder_layer,8,1872.527
decode,instrumented,1,32,1,decoder_layer,9,1989.968
decode,instrumented,1,32,1,decoder_layer,10,1937.066
decode,instrumented,1,32,1,decoder_layer,11,1943.353
decode,instrumented,1,32,1,decoder_layer,12,1841.146
decode,instrumented,1,32,1,decoder_layer,13,1928.748
decode,instrumented,1,32,1,decoder_layer,14,1929.787
decode,instrumented,1,32,1,decoder_layer,15,2000.811
decode,instrumented,1,32,1,decoder_layer,16,1933.374
decode,instrumented,1,32,1,decoder_layer,17,1970.281
decode,instrumented,1,32,1,decoder_layer,18,1945.641
decode,instrumented,1,32,1,decoder_layer,19,1867.123
decode,instrumented,1,32,1,decoder_layer,20,1892.245
decode,instrumented,1,32,1,decoder_layer,21,1945.730
decode,instrumented,1,32,1,decoder_layer,22,2637.147
decode,instrumented,1,32,1,decoder_layer,23,1970.100
decode,instrumented,1,32,1,decoder_layer,24,1902.705
decode,instrumented,1,32,1,decoder_layer,25,2021.494
decode,instrumented,1,32,1,decoder_layer,26,2049.976
decode,instrumented,1,32,1,decoder_layer,27,1932.091
decode,instrumented,1,32,1,decoder_layers_total,-1,54848.578
decode,instrumented,1,32,1,decoder_shard_total,-1,54854.160
